Year;Airline;Code;Al Code ICAO;Country;Country Code OAG;Country Code IATA;IATA Regions;Passengers Carried;Kilometres Flown;Aircraft Departures;Hours Flown;Passenger-Kilometres Flown;Available Seat-Kilometres;Tonne-Kilometres Performed;Passenger Load Factor;Period Fin;Currency;Operating Revenue;Operating Revenue Pax;Operating Expenses;Operating Profit;Net Result;Employees;Traf. Source;Fin Source;Pers. Source;Year End;Remarques
2010;AIRASIA;AK;AXM;MALAYSIA;749;MALB;Asia;17976000;NA;NA;NA;28875000;37927000;NA;76.1;12;USD;1645000;1196000;1310000;335000;377000;4702;Al Monitor 10/15;Al Monitor 10/15;Internet 10/13;31.12;NA
2011;AIRASIA;AK;AXM;MALAYSIA;749;MALB;Asia;20513000;NA;NA;NA;35172000;43713000;NA;80.5;12;USD;2181000;1513000;1821000;360000;150000;5137;Al Monitor 10/15;Al Monitor 10/15;Internet 10/13;31.12;NA
2012;AIRASIA;AK;AXM;MALAYSIA;749;MALB;Asia;22260000;NA;NA;NA;36324000;42600000;NA;85.3;12;USD;2291000;1666000;1941000;350000;268000;5644;Al Monitor 10/15;Al Monitor 10/15;Internet 10/13;31.12;NA
2013;AIRASIA;AK;AXM;MALAYSIA;749;MALB;Asia;25014000;NA;NA;NA;41181000;50880000;NA;80.9;12;USD;2419000;1699000;2087000;332000;87000;6089;Al Monitor 10/15;Al Monitor 10/15;Internet 10/13;31.12;NA
2014;AIRASIA;AK;AXM;MALAYSIA;749;MALB;Asia;26370000;NA;NA;NA;48081000;59951000;NA;80.2;12;USD;2675000;1766000;2115000;560000;-133000;6304;Al Monitor 10/15;Al Monitor 10/15;Internet 10/15;31.12;With AirAsia X
2015;AIRASIA;AK;AXM;MALAYSIA;749;MALB;Asia;27869000;NA;NA;NA;47549000;60783000;NA;78.2;12;USD;2466000;1528000;2069000;397000;46000;6636;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2006;AIRBERLIN;AB;BER;GERMANY;429;GERF;Europe;15228000;160000;112400;195100;21779000;27264000;1960000;79.9;12;USD;2065800;2000000;1981500;84300;65900;3039;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2007;AIRBERLIN;AB;BER;GERMANY;429;GERF;Europe;22446000;265000;150700;325900;43042000;53059000;4244000;81.1;12;USD;3490000;3185000;3461000;29000;29000;8369;Al Monitor 10/13;Al Monitor 10/13;Internet 10/08;31.12;With LTU from 2007
2008;AIRBERLIN;AB;BER;GERMANY;429;GERF;Europe;28559000;370000;220800;398600;44306000;56467000;4380000;78.5;12;USD;4808200;4561000;4788400;19800;-111800;7375;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2009;AIRBERLIN;AB;BER;GERMANY;429;GERF;Europe;27440000;346000;213500;369800;38724000;51046000;3869000;75.9;12;USD;4703100;4129000;4662400;40800;-13600;8278;Al Monitor 10/10;Al Monitor 10/10;Internet;31.12;NA
2010;AIRBERLIN;AB;BER;GERMANY;429;GERF;Europe;27562000;348000;214600;371500;38917000;51680000;3942000;75.3;12;USD;4915000;4498000;4927000;-12000;-128000;8900;Al Monitor 10/11;Al Monitor 10/11;Internet 11/11;31.12;NA
2011;AIRBERLIN;AB;BER;GERMANY;429;GERF;Europe;35300000;446000;270500;474100;52135000;62148000;3942000;83.9;12;USD;5909000;5391000;6255000;-346000;-588000;9113;Al Monitor 10/15;Al Monitor 10/15/;IATA;31.12;NA
2012;AIRBERLIN;AB;BER;GERMANY;429;GERF;Europe;33346000;434000;250400;455100;48706000;60389000;4818000;80.7;12;USD;5563000;5169000;5472000;91000;9000;9284;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2013;AIRBERLIN;AB;BER;GERMANY;429;GERF;Europe;31536000;410000;231800;424300;48564000;57238000;4526000;84.8;12;USD;5513000;5072000;5821000;-308000;-419000;9634;Al Monitor 10/14;Al Monitor 10/14;Internet 10/14;31.12;NA
2014;AIRBERLIN;AB;BER;GERMANY;429;GERF;Europe;30613000;430000;236800;432700;47605000;59200000;4672000;80.4;12;USD;5484000;5020000;5871000;-387000;-497000;8440;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2015;AIRBERLIN;AB;BER;GERMANY;429;GERF;Europe;29154000;452000;223600;410000;45523000;56035000;4380000;81.2;12;USD;4501000;4091000;4840000;-339000;-493000;8869;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;ALASKA AL;AS;ASA;USA;NA;UNST;North America;17148000;268000;181300;383200;28663000;37430000;2696000;77;12;USD;2670700;2375200;2774300;-103600;-52600;9307;Al Monitor 10/08;Al Monitor 10/08;ICAO;31.12;Alaska Air Group
2007;ALASKA AL;AS;ASA;USA;NA;UNST;North America;17544000;271000;182100;387700;29680000;38934000;2780000;76.2;12;USD;3055000;2480500;2925300;129700;124300;9680;Al Monitor 10/09;Al Monitor 10/09;ICAO;31.12;NA
2008;ALASKA AL;AS;ASA;USA;NA;UNST;North America;16789000;267000;169700;379000;30085000;38911000;2815000;77.3;12;USD;2976400;2548500;2998900;-22500;-135900;9628;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2009;ALASKA AL;AS;ASA;USA;NA;UNST;North America;15523000;251000;151100;354100;29477000;37128000;2766000;79.4;12;USD;2722500;2310400;2514100;208400;121600;8915;Al Monitor 10/10;Al Monitor 10/10;Internet;31.12;NA
2010;ALASKA AL;AS;ASA;USA;NA;UNST;North America;16478000;265000;151700;367500;32673000;39212000;3061000;83.3;12;USD;3127400;2599000;2662200;465200;251100;8651;Al Monitor 10/12;Al Monitor 10/12;Internet 11/11;31.12;NA
2011;ALASKA AL;AS;ASA;USA;NA;UNST;North America;17781000;285000;159200;393400;36302000;42610000;3389000;85.2;12;USD;3599200;3012700;3128200;471000;244500;11840;Al Monitor 10/12;Al Monitor 10/12;Internet;31.12;NA
2012;ALASKA AL;AS;ASA;USA;NA;UNST;North America;18495000;303000;162000;414500;39247000;45277000;3662000;86.7;12;USD;3915500;3289900;3354100;561400;315700;11955;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2013;ALASKA AL;AS;ASA;USA;NA;UNST;North America;19700000;322000;170100;440000;42047000;48848000;3926000;86.1;12;USD;4383900;3498100;3526900;857000;508000;9493;Al Monitor 10/14;Al Monitor 10/14;Internet 10/14;31.12;NA
2014;ALASKA AL;AS;ASA;USA;NA;UNST;North America;20935000;333000;174800;454200;44650000;52123000;4157000;85.7;12;USD;4549600;3783500;3591300;958300;605000;10841;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2015;ALASKA AL;AS;ASA;USA;NA;UNST;North America;22828000;359000;186400;489100;48748000;57685000;457000;84.5;12;USD;4767200;3952000;3476000;1291200;848000;10750;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2006;ALITALIA;AZ;AZA;ITALY;450;ITAL;Europe;24091000;320000;271500;567800;37733000;51274000;5194000;74;12;USD;6232800;4900000;6846900;-614000;-763000;19723;Al Monitor 10/08;Al Monitor 10/08;IATA;31.12;NA
2007;ALITALIA;AZ;AZA;ITALY;450;ITAL;Europe;24429000;300000;266600;545700;38083000;51158000;5490000;74;12;USD;6669000;5300000;7096000;-427000;-681000;11262;Al Monitor 10/08;Al Monitor 10/08;Internet 10/08;31.12;NA
2008;ALITALIA;AZ;AZA;ITALY;450;ITAL;Europe;18998000;252000;222200;456200;29647000;42972000;4173000;69;12;USD;5000000;4000000;NA;NA;NA;11000;Al Monitor 10/12;Al Monitor 10/12;Internet 01/12;31.12;NA
2009;ALITALIA;AZ;AZA;ITALY;450;ITAL;Europe;21759000;246000;235800;431900;29315000;44594000;3284000;65.7;12;USD;3942000;2950000;4323500;-381400;-455300;14207;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2010;ALITALIA;AZ;AZA;ITALY;450;ITAL;Europe;23355000;246000;235400;438800;32897000;46675000;3641000;70.5;12;USD;4296200;3200000;4438200;-142000;-223300;14222;Al Monitor 10/11;Al Monitor 10/11;IATA;31.12;NA
2011;ALITALIA;AZ;AZA;ITALY;450;ITAL;Europe;25042000;255000;238400;449600;35236000;48430000;3930000;72.8;12;USD;4900500;3650000;4909200;-8700;-96100;14199;Al Monitor 10/12;Al Monitor 10/12;IATA;31.12;NA
2012;ALITALIA;AZ;AZA;ITALY;450;ITAL;Europe;24276000;251000;234700;450700;35167000;47143000;3924000;74.6;12;USD;4719900;3550000;4873000;-153200;-361000;13781;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2013;ALITALIA;AZ;AZA;ITALY;450;ITAL;Europe;23162000;243000;213800;423200;34920000;45577000;3834000;76.6;12;USD;4528000;3888000;4956000;-428000;-756000;13721;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2014;ALITALIA;AZ;AZA;ITALY;450;ITAL;Europe;22685000;240000;211500;414500;34503000;44792000;3897000;77;12;USD;4192000;3623000;4650000;-458000;-762000;11839;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2015;ALITALIA;AZ;AZA;ITALY;450;ITAL;Europe;22333000;288000;207200;405400;33985000;43922000;3861000;77.4;12;USD;3653000;2445000;NA;NA;-219000;12428;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;ALL NIPPON AW (ANA);NH;ANA;JAPAN;736;JAPN;Asia;49226000;338000;329100;554800;58017000;85143000;6399000;68.1;12;USD;10699000;8607000;10016000;683000;273000;12778;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2007;ALL NIPPON AW (ANA);NH;ANA;JAPAN;736;JAPN;Asia;48987000;357000;330400;578000;59124000;88160000;6860000;67.1;12;USD;11462000;9256000;10776000;686000;445000;13602;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2008;ALL NIPPON AW (ANA);NH;ANA;JAPAN;736;JAPN;Asia;46982000;365000;329000;590900;57155000;86804000;6867000;65.8;12;USD;12258000;9875000;12210000;48000;-18000;14224;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2009;ALL NIPPON AW (ANA);NH;ANA;JAPAN;736;JAPN;Asia;41921000;346000;311100;560100;52455000;81042000;6346000;64.7;12;USD;11764000;9139000;12387000;-623000;-635000;14445;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2010;ALL NIPPON AW (ANA);NH;ANA;JAPAN;736;JAPN;Asia;43585000;353000;309600;570700;56065000;80645000;7054000;69.5;12;USD;14324000;10973000;13613000;711000;271000;12929;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2011;ALL NIPPON AW (ANA);NH;ANA;JAPAN;736;JAPN;Asia;41911000;391000;322800;627700;56441000;87354000;7374000;64.6;12;USD;16009000;12320000;14887000;1122000;340000;13103;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2012;ALL NIPPON AW (ANA);NH;ANA;JAPAN;736;JAPN;Asia;44668000;417000;336200;667000;62111000;92218000;8129000;67.4;12;USD;15526000;12182000;14456000;1070000;507000;13803;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2013;ALL NIPPON AW (ANA);NH;ANA;JAPAN;736;JAPN;Asia;45185000;440000;343200;700200;64511000;98846000;8756000;65.3;12;USD;13577000;10653000;12927000;650000;188000;12370;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2014;ALL NIPPON AW (ANA);NH;ANA;JAPAN;736;JAPN;Asia;46209000;481000;351400;755700;69488000;103076000;9909000;67.4;12;USD;13399000;10395000;12662000;737000;354000;12418;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2015;ALL NIPPON AW (ANA);NH;ANA;JAPAN;736;JAPN;Asia;46630000;503000;354500;784800;73989000;107293000;10312000;69;12;USD;12933000;10003000;11769000;1164000;651000;12564;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2009;ALLEGIANT AIR;G4;NA;USA;NA;UNST;North America;4920000;53000;36700;75800;7607000;8497000;692000;89.5;12;USD;536500;374700;427900;108500;104700;1569;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2010;ALLEGIANT AIR;G4;NA;USA;NA;UNST;North America;5609000;61000;41500;87100;8740000;9718000;793000;89.9;12;USD;635500;458500;548700;86800;84900;1614;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2011;ALLEGIANT AIR;G4;NA;USA;NA;UNST;North America;5777000;62000;41900;87000;9013000;9910000;818000;90.9;12;USD;745000;532100;680600;64400;637000;1595;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2012;ALLEGIANT AIR;G4;NA;USA;NA;UNST;North America;6617000;70000;46500;97600;10451000;11741000;948000;89;12;USD;869200;631100;762600;106700;105600;1821;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2013;ALLEGIANT AIR;G4;NA;USA;NA;UNST;North America;7101000;74000;47500;103400;11437000;12872000;1038000;88.9;12;USD;957800;708100;826200;131600;130000;2065;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2014;ALLEGIANT AIR;G4;NA;USA;NA;UNST;North America;8050000;82000;53400;114000;12643000;14169000;1147000;89.2;12;USD;1099700;801000;961500;138200;127900;2411;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2015;ALLEGIANT AIR;G4;NA;USA;NA;UNST;North America;9414000;97000;64600;134900;14471000;16678000;1313000;86.8;12;USD;1221500;823800;866400;355100;344000;2846;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2006;AMERICAN AL;AA;AAL;USA;NA;UNST;North America;98142000;1603000;789300;2151300;224282000;279870000;23618000;80;12;USD;20026700;17843300;19211100;815600;231000;70981;Al Monitor 10/08;Al Monitor 10/08;IATA;31.12;AMR GORP
2007;AMERICAN AL;AA;AAL;USA;NA;UNST;North America;98165000;1547000;768800;2079900;222714000;273298000;23321000;81;12;USD;20283000;18088200;19581000;702100;504000;72009;Al Monitor 10/08;Al Monitor 10/08;IATA;31.12;NA
2008;AMERICAN AL;AA;AAL;USA;NA;UNST;North America;92772000;1484000;735800;2005800;211944000;263044000;22176000;80.6;12;USD;20986300;18220300;23040600;-2054300;-3248000;70926;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2009;AMERICAN AL;AA;AAL;USA;NA;UNST;North America;85720000;1388000;682700;1865800;196901000;244098000;20302000;80.7;12;USD;17731400;15018900;18894300;-1162900;-1468200;66520;Al Monitor 10/10;Al Monitor 10/10;IATA;31.12;NA
2010;AMERICAN AL;AA;AAL;USA;NA;UNST;North America;86129000;1407000;679300;1883600;201841000;246463000;21085000;81.9;12;USD;19829700;16743800;19678500;151200;-470000;65507;Al Monitor 10/11;Al Monitor 10/11;IATA;31.12;NA
2011;AMERICAN AL;AA;AAL;USA;NA;UNST;North America;86042000;1409000;671900;1884400;203447000;248195000;21084000;82;12;USD;21108100;17929600;22278200;-1170100;-470000;66522;Al Monitor 10/12;Al Monitor 10/12;Internet;31.12;NA
2012;AMERICAN AL;AA;AAL;USA;NA;UNST;North America;86335000;1392000;664700;1866000;203296000;245447000;21040000;82.8;12;USD;21806800;18723400;21765700;41200;-1877000;64557;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2013;AMERICAN AL;AA;AAL;USA;NA;UNST;North America;143829000;2187000;1142200;2972900;312909000;373704000;31631000;83.7;12;USD;34173800;29082400;31632800;2541000;-1246000;59550;Al Monitor 10/14;Al Monitor 10/14;Internet 10/14;31.12;Includes US Airways from 2013
2014;AMERICAN AL;AA;AAL;USA;NA;UNST;North America;145344000;2218000;1143700;3009900;314635000;381947000;31981000;82.4;12;USD;36133700;30276700;31868100;4265600;2882000;61536;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;American Airlines Group?s (American AL US AW)
2015;AMERICAN AL;AA;AAL;USA;NA;UNST;North America;146550000;2198000;1114500;2974600;320744000;384888000;32510000;83.3;12;USD;34840800;29022800;28651800;6189000;7610000;102170;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;Including US Airways
2006;ASIANA;OZ;AAR;KOREA (REP. OF);778;KORR;Asia;12109000;141900;96500;246400;20808200;28154900;4794900;74;12;USD;3673800;2300000;3538600;135200;139000;7799;Al Monitor 10/07;Al Monitor 10/07;IATA;31.12;AIRLINE OPERATIONS
2007;ASIANA;OZ;AAR;KOREA (REP. OF);778;KORR;Asia;12498000;156000;99700;268700;22468000;30508000;5135000;73.6;12;USD;3934000;2499000;3749000;185000;115000;8200;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2008;ASIANA;OZ;AAR;KOREA (REP. OF);778;KORR;Asia;12536000;173000;107500;294800;23617000;33240000;5452000;71;12;USD;3854000;2437000;3902000;-48000;-205000;8303;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2009;ASIANA;OZ;AAR;KOREA (REP. OF);778;KORR;Asia;12391000;172000;110000;295000;24414000;34707000;5335000;70.3;12;USD;3055000;1940000;3241000;-186000;-209000;8139;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2010;ASIANA;OZ;AAR;KOREA (REP. OF);778;KORR;Asia;13105000;191000;108500;301300;27176000;35626000;5847000;76.3;12;USD;4560000;2800000;4085000;475000;74000;8580;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2011;ASIANA;OZ;AAR;KOREA (REP. OF);778;KORR;Asia;14006000;191000;99500;310400;29486000;38498000;6243000;76.6;12;USD;5073000;3058000;4749000;324000;-27000;9041;Al Monitor 10/16;Al Monitor 10/16;Internet ;31.12;NA
2012;ASIANA;OZ;AAR;KOREA (REP. OF);778;KORR;Asia;15420000;209000;106600;338900;32705000;42038000;6974000;77.8;12;USD;5257000;3245000;5097000;160000;56000;9595;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2013;ASIANA;OZ;AAR;KOREA (REP. OF);778;KORR;Asia;15906000;217000;110300;353900;34227000;44150000;6765000;77.5;12;USD;5223000;3219000;5233000;-10000;-105000;10078;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2014;ASIANA;OZ;AAR;KOREA (REP. OF);778;KORR;Asia;17110000;228000;112500;363100;36597000;46295000;6988000;79.1;12;USD;5529000;3442000;5436000;93000;60000;10138;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2015;ASIANA;OZ;AAR;KOREA (REP. OF);778;KORR;Asia;17575000;230000;111000;364100;39427000;49395000;7144000;79.8;12;USD;5103000;3000000;5016000;87000;-123000;10408;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;AUSTRIAN AL;OS;AUA;AUSTRIA;403;AUST;Europe;10306000;193000;163800;340100;22984000;30792000;3010000;75;12;USD;3188500;2500000;3306700;-118200;-158400;7977;Al Monitor 10/08;Al Monitor 10/08;ICAO;31.12;AIRLINE OPERATIONS
2007;AUSTRIAN AL;OS;AUA;AUSTRIA;403;AUST;Europe;10500000;179000;164000;326500;20038000;26526000;2559000;76;12;USD;3377400;260000;3348800;28600;8400;7703;Al Monitor 10/08;Al Monitor 10/08;IATA;31.12;NA
2008;AUSTRIAN AL;OS;AUA;AUSTRIA;403;AUST;Europe;10402000;177000;162400;325800;18886000;25126000;2401000;75.2;12;USD;3717000;3253000;4175000;-458000;-632000;7602;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2009;AUSTRIAN AL;OS;AUA;AUSTRIA;403;AUST;Europe;9463000;158000;147700;290100;16599000;22319000;2084000;74.4;12;USD;2951400;2600000;3372500;-421100;-466900;6932;Al Monitor 10/10;Al Monitor 10/10;Internet;31.12;NA
2010;AUSTRIAN AL;OS;AUA;AUSTRIA;403;AUST;Europe;10493000;152000;144200;279700;17279000;22407000;2126000;77.1;12;USD;2683000;2365000;2770000;-87000;NA;6943;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2011;AUSTRIAN AL;OS;AUA;AUSTRIA;403;AUST;Europe;10881000;150000;135500;270300;17587000;23758000;2159000;74;12;USD;2861000;2530000;2948000;-87000;NA;6777;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2012;AUSTRIAN AL;OS;AUA;AUSTRIA;403;AUST;Europe;11150000;142000;130800;255000;17774000;22853000;2109000;77.8;12;USD;2784000;2480000;2522000;262000;NA;6236;Al Monitor 10/16;Al Monitor 10/16;Internet;31.12;NA
2013;AUSTRIAN AL;OS;AUA;AUSTRIA;403;AUST;Europe;10979000;138000;126300;248100;17521000;22213000;2095000;78.9;12;USD;2751000;2460000;2718000;33000;NA;5161;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2014;AUSTRIAN AL;OS;AUA;AUSTRIA;403;AUST;Europe;10888000;139000;121500;246700;18272000;23113000;2214000;79.1;12;USD;2727000;2440000;2705000;22000;NA;5100;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2015;AUSTRIAN AL;OS;AUA;AUSTRIA;403;AUST;Europe;10539000;136000;117000;239200;18043000;23109000;2178000;78.1;12;USD;2318000;2440000;2258000;60000;NA;5047;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;AVIANCA;AV;AVA;COLOMBIA;327;COLM;South America;7417000;74000;94500;146200;7673000;10901000;840000;70.4;12;USD;1082800;1000000;1007500;75300;11100;5955;Al Monitor 10/10;Al Monitor 10/10;IATA;31.12;AIRLINE OPERATIONS
2007;AVIANCA;AV;AVA;COLOMBIA;327;COLM;South America;8341000;83000;105200;165100;9030000;12034000;1117000;75;12;USD;1422900;1200000;1220200;202700;237100;6412;Al Monitor 10/08;Al Monitor 10/08;IATA;31.12;NA
2008;AVIANCA;AV;AVA;COLOMBIA;327;COLM;South America;9094000;90000;110700;177600;10024000;13085000;1204000;76.6;12;USD;1660100;1400000;1554900;105200;79500;6876;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2009;AVIANCA;AV;AVA;COLOMBIA;327;COLM;South America;9252000;95000;115000;186300;10889000;14429000;1295000;75.5;12;USD;1641900;1322000;1607600;34300;8900;7211;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2010;AVIANCA HOLDING;AVTA;NA;PANAMA ;162;PANM;Central America/Caribbean;18840000;207000;185100;358200;24978000;32153000;2590000;77.7;12;USD;3388000;2898000;3158000;230000;-8000;15595;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;Merged with TACA in 2010
2011;AVIANCA HOLDING;AVTA;NA;PANAMA ;162;PANM;Central America/Caribbean;22468000;223000;205900;388100;28234000;35378000;2260000;79.8;12;USD;4314000;3811000;4056000;258000;56000;15595;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;Merged with TACA in 2010
2012;AVIANCA HOLDING;AVTA;NA;PANAMA ;162;PANM;Central America/Caribbean;26625000;255000;224700;436800;34620000;43522000;2805000;79.5;12;USD;4944000;4199000;4689000;255000;-18000;18725;Al Monitor 10/15;Al Monitor 10/15;Internet;31.12;NA
2013;AVIANCA HOLDING;AVTA;NA;PANAMA ;162;PANM;Central America/Caribbean;29674000;254000;233200;443900;37035000;45711000;2889000;81;12;USD;5434000;4662000;5026000;408000;232000;19127;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2014;AVIANCA HOLDING;AVTA;NA;PANAMA ;162;PANM;Central America/Caribbean;33436000;342000;339400;616300;40355000;50401000;4274000;80.1;12;USD;5702000;4818000;5417000;285000;120000;20573;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2015;AVIANCA HOLDING;AVTA;NA;PANAMA ;162;PANM;Central America/Caribbean;36334000;379000;367300;673700;44398000;55194000;5520000;80.4;12;USD;5301000;4378000;5061000;240000;-146000;20594;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;BRITISH AW (BA);BA;BAW;UNITED KINGDOM;493;UNKG;Europe;36087000;692000;364400;1088000;114875000;150673000;15182000;76.2;12;USD;15730000;13812000;14566000;1164000;551000;46227;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;AIRLINE OPERATIONS
2007;BRITISH AW (BA);BA;BAW;UNITED KINGDOM;493;UNKG;Europe;33589000;664000;302400;1014600;113252000;149842000;14940000;75.6;12;USD;17602000;14000000;15836000;1766000;1432000;43309;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2008;BRITISH AW (BA);BA;BAW;UNITED KINGDOM;493;UNKG;Europe;33652000;657000;285600;994300;115713000;149485000;15225000;77.4;12;USD;15013000;13083000;15380000;-367000;-598000;43574;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2009;BRITISH AW (BA);BA;BAW;UNITED KINGDOM;493;UNKG;Europe;32281000;631000;266500;939400;111974000;143392000;14518000;78.1;12;USD;12595000;11162000;13210000;-615000;-680000;39215;Al Monitor 10/15;Al Monitor 10/15;IATA;31.03;NA
2010;BRITISH AW (BA);BA;BAW;UNITED KINGDOM;493;UNKG;Europe;30485000;609000;252200;902100;105534000;135949000;14078000;77.6;12;USD;13229000;11700000;12923000;306000;-15000;38410;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2011;BRITISH AW (BA);BA;BAW;UNITED KINGDOM;493;UNKG;Europe;34031000;660000;276200;976700;116843000;149347000;15300000;78.2;12;USD;16076000;14038000;15242000;834000;1082000;39444;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2012;BRITISH AW (BA);BA;BAW;UNITED KINGDOM;493;UNKG;Europe;36710000;683000;297600;1018100;124295000;155214000;16043000;80.1;12;USD;17238000;15124000;16802000;436000;134000;41313;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
